Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2019-3 Data Report
"March 7, 2019 (FTE 2019-3)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","0415 -Atlanta Classical Academy",660,0,55,56,56,54,54,54,55,54,54,47,40,47,34
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",396,0,64,66,66,66,66,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",231,0,0,0,0,0,0,0,78,78,75,0,0,0,0
761,"Atlanta Public Schools","1411 -B.E.S.T Academy",309,0,0,0,0,0,0,0,36,40,53,37,53,44,46
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",281,23,53,49,50,31,37,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elementary School",425,21,64,57,81,58,79,65,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",291,20,41,43,48,44,43,52,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1275,0,0,0,0,0,0,0,0,0,0,366,291,293,325
761,"Atlanta Public Schools","5051 -Benteen Elementary School",297,39,46,48,36,37,49,42,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",608,65,86,76,98,107,91,85,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0315 -Booker T. Washington High School",684,0,0,0,0,0,0,0,0,0,0,222,165,153,144
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",510,58,78,82,84,73,67,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1413 -Carver High School",459,0,0,0,0,0,0,0,0,0,0,158,99,98,104
761,"Atlanta Public Schools","0106 -Carver High School Early College",456,0,0,0,0,0,0,0,0,0,0,163,114,85,94
761,"Atlanta Public Schools","0196 -Cascade Elementary School",429,21,63,62,67,79,71,66,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",807,0,92,93,105,106,105,88,82,75,61,0,0,0,0
761,"Atlanta Public Schools","0515 -Charles Drew Charter JA/SR Academy",821,0,0,0,0,0,0,0,136,129,135,133,102,103,83
